PARAM,AVG_TIME,RUN,FAILED
10,68ms,1,0
10,41ms,2,0
10,41ms,3,0
50,1840ms,1,1
50,1204ms,2,0
50,1205ms,3,0
100,3192ms,1,1
100,2264ms,2,0
100,2303ms,3,0
