PARAM,AVG_TIME,RUN,FAILED
1,93.31,1,0
1,89.33,2,0
1,108.30,3,0
10,194.88,1,0
10,118.02,2,0
10,113.15,3,0
20,175.83,1,0
20,154.79,2,0
20,151.89,3,0
50,192.41,1,0
50,186.87,2,0
50,156.16,3,0
100,215.77,1,0
100,207.15,2,0
100,224.49,3,0
1000,451.97,1,0
1000,176.89,2,0
1000,155.51,3,0
