PARAM,AVG_TIME,RUN,FAILED
10,548.02,1,0
10,197.64,2,0
10,165.00,3,0
50,188.44,1,0
50,165.67,2,0
50,168.48,3,0
100,203.01,1,0
100,166.49,2,0
100,144.91,3,0
