PARAM,AVG_TIME,RUN,FAILED
10,820.15,1,0
10,217.60,2,0
10,155.16,3,0
100,224.95,1,0
100,171.73,2,0
100,125.09,3,0
1000,407.46,1,0
1000,197.47,2,0
1000,184.90,3,0
