PARAM,AVG_TIME,RUN,FAILED
1,102ms,1,0
1,44ms,2,0
1,40ms,3,0
10,236ms,1,0
10,180ms,2,0
10,116ms,3,0
20,160ms,1,0
20,155ms,2,0
20,108ms,3,0
50,354ms,1,0
50,383ms,2,0
50,368ms,3,0
100,766ms,1,0
100,845ms,2,0
100,780ms,3,0
1000,2254ms,1,1
1000,1173ms,2,1
1000,1184ms,3,1
