PARAM,AVG_TIME,RUN,FAILED
1,54ms,1,0
1,43ms,2,0
1,42ms,3,0
10,394ms,1,0
10,394ms,2,0
10,408ms,3,0
20,532ms,1,0
20,375ms,2,0
20,358ms,3,0
50,887ms,1,0
50,898ms,2,0
50,904ms,3,0
100,1803ms,1,0
100,2060ms,2,0
100,2183ms,3,0
1000,14582ms,1,0
1000,0ms,2,1
1000,5457ms,3,0
